2025-11-27 09:05:05 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-27
2025-11-27 09:05:06 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-27
2025-11-27 09:05:07 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-27 09:05:07 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764214507
2025-11-27 09:05:07 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-27 09:05:07 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-27 09:05:07 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-27 09:05:07 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-27 09:05:07 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-27 09:05:07 | INFO | MONITOR | Event loop thread started
2025-11-27 09:05:07 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-27 09:05:08 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-27
2025-11-27 09:05:08 | INFO | MONITOR | Priority API queue enabled and started
2025-11-27 09:05:08 | INFO | SL_RETRY | SL retry thread started - waiting 30s before initial placement (conserve startup API quota)
2025-11-27 09:05:08 | INFO | SL_RETRY | SL retry thread started successfully
2025-11-27 09:05:08 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-27 09:05:08 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-27 09:05:08 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764214508
2025-11-27 09:05:08 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-27 09:05:08 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-27 09:05:08 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-27 09:05:08 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-27 09:05:08 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-27 09:05:08 | INFO | MONITOR | Event loop thread started
2025-11-27 09:05:09 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-27 09:05:24 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-27
2025-11-27 09:05:25 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-27 09:05:25 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764214525
2025-11-27 09:05:25 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-27 09:05:25 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-27 09:05:25 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-27 09:05:25 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-27 09:05:25 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-27 09:05:25 | INFO | MONITOR | Event loop thread started
2025-11-27 09:05:25 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-27 09:05:28 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-27 09:05:38 | INFO | SL_RETRY | SL retry thread active - conservative mode (1 SL per 20s, max 10 retries)
2025-11-27 09:05:41 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-27
2025-11-27 09:05:41 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-27 09:05:41 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764214541
2025-11-27 09:05:41 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-27 09:05:41 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-27 09:05:41 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-27 09:05:42 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-27 09:05:42 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-27 09:05:42 | INFO | MONITOR | Event loop thread started
2025-11-27 09:05:42 | INFO | MONITOR | Event loop started successfully for priority queue
