2025-11-28T10:21:03.741012 | TradingView | BUY UNITDSPR-EQ @ ₹1447.80
2025-11-28T10:21:15.182393 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-11-28T10:21:16.191273 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-11-28T10:21:17.200041 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-11-28T10:21:18.207581 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-11-28T10:21:19.216891 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-11-28T10:21:20.225855 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-11-28T10:21:21.233544 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-11-28T10:21:22.241979 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-11-28T10:21:51.125889 | TradingView | BUY INFY-EQ @ ₹1850.50
2025-11-28T10:21:52.136911 | TradingView | BUY TCS-EQ @ ₹1850.50
2025-11-28T10:21:53.147146 | TradingView | BUY RELIANCE-EQ @ ₹1850.50
2025-11-28T10:21:54.157897 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-11-28T10:21:55.167371 | TradingView | BUY INFY-EQ @ ₹1850.50
2025-11-28T10:21:56.179748 | TradingView | BUY TCS-EQ @ ₹1850.50
2025-11-28T10:21:57.190613 | TradingView | BUY RELIANCE-EQ @ ₹1850.50
2025-11-28T10:21:58.201868 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-11-28T10:24:03.961587 | TradingView | BUY PNBHOUSING-EQ @ ₹910.50
2025-11-28T10:24:09.663183 | TradingView | BUY TORNTPOWER-EQ @ ₹1320.20
2025-11-28T10:33:01.524314 | TradingView | BUY POWERINDIA-EQ @ ₹22065.00
2025-11-28T10:48:01.378670 | TradingView | BUY KALYANKJIL-EQ @ ₹498.30
2025-11-28T10:48:01.815910 | TradingView | BUY ESCORTS-EQ @ ₹3846.30
2025-11-28T11:26:49.524893 | TradingView | BUY INFY-EQ @ ₹1850.50
2025-11-28T11:26:50.545202 | TradingView | BUY TCS-EQ @ ₹1850.50
2025-11-28T11:26:51.556463 | TradingView | BUY RELIANCE-EQ @ ₹1850.50
2025-11-28T11:26:52.566669 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-11-28T11:26:53.574557 | TradingView | BUY INFY-EQ @ ₹1850.50
2025-11-28T11:26:54.586825 | TradingView | BUY TCS-EQ @ ₹1850.50
2025-11-28T11:26:55.598399 | TradingView | BUY RELIANCE-EQ @ ₹1850.50
2025-11-28T11:26:56.614382 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
