timestamp,error_type,error_code,endpoint,message,context,recovery_attempted,recovery_success
2025-12-01T00:00:05.842346,SESSION_EXPIRED,AG8001,rmsLimit,Invalid Token,{"session_age_minutes": 4.9128614, "note": "Angel One has strict rate limits (1 login/sec). If getting AG8001 repeatedly, we're likely rate-limited for the day."},False,False
2025-12-01T09:51:06.510701,TOKEN_INVALID,AG8001,placeOrder,placeOrder returned None - Invalid Token suspected,{"session_age_minutes": 0.877587},False,False
2025-12-01T09:54:06.763222,TOKEN_INVALID,AG8001,placeOrder,placeOrder returned None - Invalid Token suspected,{"session_age_minutes": 3.8817971666666664},False,False
2025-12-01T09:57:01.794772,TOKEN_INVALID,AG8001,placeOrder,placeOrder returned None - Invalid Token suspected,{"session_age_minutes": 1.79620195},False,False
2025-12-01T10:03:02.773721,TOKEN_INVALID,AG8001,placeOrder,placeOrder returned None - Invalid Token suspected,{"session_age_minutes": 2.8480823833333333},False,False
2025-12-01T10:27:03.106342,TOKEN_INVALID,AG8001,placeOrder,placeOrder returned None - Invalid Token suspected,{"session_age_minutes": 1.7963210833333332},False,False
2025-12-01T10:33:05.347306,TOKEN_INVALID,AG8001,placeOrder,placeOrder returned None - Invalid Token suspected,{"session_age_minutes": 2.8385668166666664},False,False
2025-12-01T10:39:02.093944,TOKEN_INVALID,AG8001,placeOrder,placeOrder returned None - Invalid Token suspected,{"session_age_minutes": 3.813763966666667},False,False
2025-12-01T10:42:02.466038,TOKEN_INVALID,AG8001,placeOrder,placeOrder returned None - Invalid Token suspected,{"session_age_minutes": 1.7972457499999999},False,False
2025-12-01T10:48:03.563373,TOKEN_INVALID,AG8001,placeOrder,placeOrder returned None - Invalid Token suspected,{"session_age_minutes": 2.84794615},False,False
2025-12-01T10:48:05.188787,TOKEN_INVALID,AG8001,placeOrder,placeOrder returned None - Invalid Token suspected,{"session_age_minutes": 2.8750389833333334},False,False
2025-12-01T13:20:17.844260,API_ERROR,AB2001,ltpData,Internal Error,{"full_response": {"message": "Internal Error", "errorcode": "AB2001", "status": false, "data": null}, "args": "('NSE', 'KPITTECH', '9683')", "kwargs": "{}"},False,False
2025-12-01T15:12:14.934558,RATE_LIMIT_EXCEEDED,,ltpData,API call blocked - no tokens available,{"rate_limiter_stats": {"total_calls": 23, "blocked_calls": 0, "queued_calls": 0, "success_rate": 100.0, "calls_last_1min": 9, "calls_last_5min": 19, "avg_wait_time": 0.008, "queued_requests": 0, "second_bucket": {"name": "per_second", "tokens": 0.5, "capacity": 8, "refill_rate": 8, "utilization": 93.8}, "minute_bucket": {"name": "per_minute", "tokens": 168.44, "capacity": 180, "refill_rate": 3.0, "utilization": 6.4}, "limits": {"rps": 8, "rpm": 180}}},False,False
2025-12-01T15:12:15.232798,RATE_LIMIT_EXCEEDED,,placeOrder,API call blocked - no tokens available,{"rate_limiter_stats": {"total_calls": 24, "blocked_calls": 0, "queued_calls": 0, "success_rate": 100.0, "calls_last_1min": 9, "calls_last_5min": 19, "avg_wait_time": 0.014, "queued_requests": 0, "second_bucket": {"name": "per_second", "tokens": 0.88, "capacity": 8, "refill_rate": 8, "utilization": 89.0}, "minute_bucket": {"name": "per_minute", "tokens": 167.33, "capacity": 180, "refill_rate": 3.0, "utilization": 7.0}, "limits": {"rps": 8, "rpm": 180}}},False,False
