2025-12-01 00:00:12 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-12-01
2025-12-01 00:00:13 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-12-01 00:00:13 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764527413
2025-12-01 00:00:13 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-12-01 00:00:13 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-12-01 00:00:13 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-12-01 00:00:13 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-12-01 00:00:13 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-12-01 00:00:13 | INFO | MONITOR | Event loop thread started
2025-12-01 00:00:13 | INFO | MONITOR | Event loop started successfully for priority queue
2025-12-01 00:00:14 | INFO | MONITOR | Priority API queue enabled and started
2025-12-01 00:00:14 | INFO | SL_RETRY | SL retry thread started - waiting 30s before initial placement (conserve startup API quota)
2025-12-01 00:00:14 | INFO | SL_RETRY | SL retry thread started successfully
2025-12-01 00:00:14 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:00:34 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:00:44 | INFO | SL_RETRY | SL retry thread active - conservative mode (1 SL per 20s, max 10 retries)
2025-12-01 00:00:54 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:01:14 | INFO | MONITOR | Paper trades checked (next in 60s)
2025-12-01 00:01:14 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:01:34 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:01:54 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:02:14 | INFO | MONITOR | Paper trades checked (next in 60s)
2025-12-01 00:02:14 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:02:34 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:02:54 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:03:14 | INFO | MONITOR | Paper trades checked (next in 60s)
2025-12-01 00:03:14 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:03:34 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:03:54 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:04:14 | INFO | MONITOR | Paper trades checked (next in 60s)
2025-12-01 00:04:14 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:04:34 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:04:54 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:05:11 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-12-01
2025-12-01 00:05:12 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-12-01 00:05:12 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764527712
2025-12-01 00:05:12 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-12-01 00:05:12 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-12-01 00:05:12 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-12-01 00:05:12 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-12-01 00:05:12 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-12-01 00:05:12 | INFO | MONITOR | Event loop thread started
2025-12-01 00:05:12 | INFO | MONITOR | Event loop started successfully for priority queue
2025-12-01 00:05:13 | INFO | MONITOR | Priority API queue enabled and started
2025-12-01 00:05:13 | INFO | SL_RETRY | SL retry thread started - waiting 30s before initial placement (conserve startup API quota)
2025-12-01 00:05:13 | INFO | SL_RETRY | SL retry thread started successfully
2025-12-01 00:05:13 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:05:33 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:05:43 | INFO | SL_RETRY | SL retry thread active - conservative mode (1 SL per 20s, max 10 retries)
2025-12-01 00:05:53 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:06:13 | INFO | MONITOR | Paper trades checked (next in 60s)
2025-12-01 00:06:13 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:06:33 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:06:53 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:07:13 | INFO | MONITOR | Paper trades checked (next in 60s)
2025-12-01 00:07:13 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:07:33 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:07:53 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:08:13 | INFO | MONITOR | Paper trades checked (next in 60s)
2025-12-01 00:08:13 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:08:33 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:08:53 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:09:13 | INFO | MONITOR | Paper trades checked (next in 60s)
2025-12-01 00:09:13 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:09:33 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:09:53 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:10:11 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-12-01
2025-12-01 00:10:11 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-12-01 00:10:11 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764528011
2025-12-01 00:10:11 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-12-01 00:10:11 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-12-01 00:10:11 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-12-01 00:10:12 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-12-01 00:10:12 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-12-01 00:10:12 | INFO | MONITOR | Event loop thread started
2025-12-01 00:10:12 | INFO | MONITOR | Event loop started successfully for priority queue
2025-12-01 00:10:12 | INFO | MONITOR | Priority API queue enabled and started
2025-12-01 00:10:12 | INFO | SL_RETRY | SL retry thread started - waiting 30s before initial placement (conserve startup API quota)
2025-12-01 00:10:12 | INFO | SL_RETRY | SL retry thread started successfully
2025-12-01 00:10:12 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:10:32 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:10:42 | INFO | SL_RETRY | SL retry thread active - conservative mode (1 SL per 20s, max 10 retries)
2025-12-01 00:10:52 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:11:12 | INFO | MONITOR | Paper trades checked (next in 60s)
2025-12-01 00:11:12 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:11:32 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:11:52 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:12:12 | INFO | MONITOR | Paper trades checked (next in 60s)
2025-12-01 00:12:12 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:12:32 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:12:52 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-12-01 00:13:12 | INFO | MONITOR | Paper trades checked (next in 60s)
