2025-12-02T09:54:01.793487 | TradingView | BUY ANGELONE-EQ @ ₹2805.00
2025-12-02T09:57:01.375701 | TradingView | BUY BALKRISIND-EQ @ ₹2376.90
2025-12-02T10:12:01.619453 | TradingView | BUY CYIENT-EQ @ ₹1175.00
2025-12-02T10:27:02.384828 | TradingView | BUY BSOFT-EQ @ ₹400.40
2025-12-02T10:36:01.287207 | TradingView | BUY PGEL-EQ @ ₹594.30
2025-12-02T10:39:01.739031 | TradingView | BUY PAGEIND-EQ @ ₹37380.00
2025-12-02T10:39:04.323607 | TradingView | BUY SJVN-EQ @ ₹78.14
2025-12-02T10:42:03.452387 | TradingView | BUY GLENMARK-EQ @ ₹1962.10
2025-12-02T10:48:03.413946 | TradingView | BUY INOXWIND-EQ @ ₹133.12
2025-12-02T11:22:08.298812 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T12:36:20.576180 | TradingView | BUY RELIANCE-EQ @ ₹2850.50
2025-12-02T12:36:20.615261 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T12:44:06.823434 | TradingView | BUY RELIANCE-EQ @ ₹2950.00
2025-12-02T12:44:06.844104 | TradingView | BUY INFOSYS-EQ @ ₹1850.50
2025-12-02T12:47:58.340460 | TradingView | BUY NIFTY50-EQ @ ₹24800.00
2025-12-02T12:52:15.345594 | TradingView | BUY RELIANCE-EQ @ ₹2950.00
2025-12-02T12:52:15.376565 | TradingView | BUY INFOSYS-EQ @ ₹1850.50
2025-12-02T12:52:15.397564 | TradingView | BUY NIFTY-EQ @ ₹24800.00
2025-12-02T12:54:00.424712 | TradingView | BUY RELIANCE-EQ @ ₹2950.00
2025-12-02T12:54:00.454533 | TradingView | BUY INFOSYS-EQ @ ₹1850.50
2025-12-02T12:54:00.478601 | TradingView | BUY NIFTY-EQ @ ₹24800.00
2025-12-02T12:56:44.494414 | TradingView | BUY TECHM-EQ @ ₹1450.00
2025-12-02T12:59:08.380826 | TradingView | BUY TECHM-EQ @ ₹1450.00
2025-12-02T13:31:06.037623 | TradingView | BUY TECHM-EQ @ ₹1460.00
2025-12-02T13:37:48.907272 | TradingView | BUY TECHM-EQ @ ₹1460.00
2025-12-02T13:43:33.825067 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T13:50:29.342539 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T17:55:36.431838 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T17:59:03.751189 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T18:43:59.707248 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T18:44:09.117566 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T18:47:04.683762 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T18:47:10.013636 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T18:48:14.906291 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T18:48:23.968846 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T18:52:11.951065 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T18:52:14.647014 | TradingView | UNKNOWN UNKNOWN @ ₹0.00 [REJECTED]
2025-12-02T18:54:03.785318 | TradingView | BUY INOXWIND-EQ @ ₹133.12
2025-12-02T18:58:34.479069 | TradingView | BUY ASIANPAINT-EQ @ ₹2955.00
2025-12-02T18:58:48.370622 | TradingView | BUY ASIANPAINT-EQ @ ₹2955.00
2025-12-02T19:02:09.519996 | TradingView | BUY ASIANPAINT-EQ @ ₹2955.00
2025-12-02T19:45:52.385958 | TradingView | BUY POWERINDIA-EQ @ ₹22755.00
2025-12-02T19:50:11.049800 | TradingView | BUY POWERINDIA-EQ @ ₹22755.00
2025-12-02T19:58:31.502624 | TradingView | BUY POWERINDIA-EQ @ ₹22755.00
