Last Updated: 2026-04-06 11:47:34

=== CLOSED TRADES (Today) ===
Sts | Underlying | Symbol                   | AlrtPx    | Time  | Entry    | Exit     | High     | Low      | Qty    | PnL      | PnL%  | Dur   | Reason
----+------------+--------------------------+-----------+-------+----------+----------+----------+----------+--------+----------+-------+-------+----------
CLS | PRESTIGE   | PRESTIGE28APR261180CE    |      1161 | 11:03 |    49.20 |    44.28 |    49.20 |     0.00 |    609 |  -2996.3 | -10.0 |   10m | HARD_SL_HIT (SL: ₹44.28)
CLS | PNB        | PNB28APR26106CE          |       105 | 09:55 |     4.11 |     4.32 |     4.33 |     0.00 |   7299 |   1499.9 |   5.0 |   22m | TRIAL_SL
CLS | POWERINDIA | POWERINDIA28APR2626000CE |     25905 | 09:55 |  1168.95 |  1137.05 |  1170.85 |     0.00 |     25 |   -797.5 |  -2.7 |   20m | STALE_CONSOLIDATION (Peak +0.2%, Stale 20min)
CLS | AUBANK     | AUBANK28APR26880CE       |       875 | 09:55 |    33.10 |    33.35 |    33.90 |     0.00 |    906 |    226.5 |   0.8 |   20m | STALE_CONSOLIDATION (Peak +2.4%, Stale 20min)
CLS | BANKNIFTY  | BANKNIFTY28APR2651900CE  |     51845 | 09:55 |  1499.05 |  1546.50 |  1546.50 |     0.00 |     20 |    949.0 |   3.2 |   20m | STALE_CONSOLIDATION (Peak +3.2%, Stale 20min)
CLS | AXISBANK   | AXISBANK28APR261220CE    |      1212 | 09:54 |    38.85 |    39.00 |    39.35 |     0.00 |    772 |    115.8 |   0.4 |   20m | STALE_CONSOLIDATION (Peak +1.3%, Stale 20min)
CLS | MOTHERSON  | MOTHERSON28APR26109CE    |       109 | 09:54 |     4.41 |     4.56 |     4.58 |     0.00 |   6802 |   1020.3 |   3.4 |   20m | STALE_CONSOLIDATION (Peak +3.9%, Stale 20min)
CLS | TITAN      | TITAN28APR264180CE       |      4179 | 09:54 |   124.95 |   129.05 |   130.25 |     0.00 |    240 |    984.0 |   3.3 |   20m | STALE_CONSOLIDATION (Peak +4.2%, Stale 20min)
CLS | HINDALCO   | HINDALCO28APR26940CE     |       935 | 09:54 |    29.00 |    30.45 |    30.50 |     0.00 |   1034 |   1499.3 |   5.0 |   19m | TRIAL_SL
CLS | HEROMOTOCO | HEROMOTOCO28APR265100CE  |      5070 | 09:49 |   195.00 |   187.55 |   200.35 |     0.00 |    153 |  -1139.8 |  -3.8 |   20m | STALE_CONSOLIDATION (Peak +2.7%, Stale 20min)
CLS | PAGEIND    | PAGEIND28APR2634250CE    |     34185 | 09:49 |   268.75 |   268.75 |   268.75 |     0.00 |    111 |      0.0 |   0.0 |   20m | STALE_CONSOLIDATION (Peak +0.0%, Stale 20min)
CLS | LODHA      | LODHA28APR26710CE        |       702 | 09:49 |    30.85 |    31.85 |    32.30 |     0.00 |    972 |    972.0 |   3.2 |   20m | STALE_CONSOLIDATION (Peak +4.7%, Stale 20min)
CLS | MCX        | MCX28APR262480CE         |      2468 | 09:49 |   132.25 |   131.50 |   136.20 |     0.00 |    226 |   -169.5 |  -0.6 |   20m | STALE_CONSOLIDATION (Peak +3.0%, Stale 20min)
CLS | SHRIRAMFIN | SHRIRAMFIN28APR26900CE   |       899 | 09:48 |    50.05 |    47.90 |    50.05 |     0.00 |    599 |  -1287.8 |  -4.3 |   20m | STALE_CONSOLIDATION (Peak +0.0%, Stale 20min)
CLS | BSE        | BSE26APR2900CE           |      2877 | 09:48 |   122.05 |   122.05 |   122.05 |     0.00 |    245 |      0.0 |   0.0 |   20m | STALE_CONSOLIDATION (Peak +0.0%, Stale 20min)
CLS | LTF        | LTF28APR26250CE          |       246 | 09:49 |    11.76 |    10.58 |    11.78 |     0.00 |   2551 |  -3000.0 | -10.0 |   13m | HARD_SL_HIT (SL: ₹10.58)
CLS | CANBK      | CANBK28APR26129CE        |       128 | 09:48 |     6.27 |     5.64 |     6.27 |     0.00 |   4784 |  -2999.6 | -10.0 |   12m | HARD_SL_HIT (SL: ₹5.64)
CLS | BHARATFORG | BHARATFORG28APR261680CE  |      1663 | 09:48 |    64.10 |    57.69 |    64.10 |     0.00 |    468 |  -2999.9 | -10.0 |   11m | HARD_SL_HIT (SL: ₹57.69)
CLS | ADANIGREEN | ADANIGREEN28APR26870CE   |       869 | 09:49 |    39.45 |    44.47 |    45.70 |     0.00 |    760 |   3812.5 |  12.7 |    7m | TRIAL_SL
CLS | TRENT      | TRENT28APR263750CE       |      3738 | 09:54 |   158.10 |   166.00 |   167.80 |     0.00 |    189 |   1494.0 |   5.0 |    2m | TRIAL_SL
CLS | UNIONBANK  | UNIONBANK28APR26177.5CE  |       175 | 09:48 |     8.83 |     7.95 |     8.83 |     0.00 |   3397 |  -2999.6 | -10.0 |    5m | HARD_SL_HIT (SL: ₹7.95)

=== ONGOING TRADES (Live) ===
Sts | Underlying | Symbol                   | AlrtPx    | Time  | Entry    | Curr     | High     | Low      | Qty    | UnPnL    | PnL%  | Dur
----+------------+--------------------------+-----------+-------+----------+----------+----------+----------+--------+----------+-------+-------
OPN | DALBHARAT  | DALBHARAT28APR261840CE   |      1824 | 09:48 |    57.10 |    76.85 |    78.50 |     0.00 |    525 |  10368.7 |  34.6 |  2.0h
